symbol,start_min,last_min,dir,notional,price,n_min,fwd_1m,signed_1m,fwd_3m,signed_3m,fwd_5m,signed_5m,fwd_15m,signed_15m,fwd_30m,signed_30m,fwd_60m,signed_60m
BTCUSDT,2026-08-24 14:23:00+00:00,2026-08-24 14:23:00+00:00,SHORT_CASCADE,803594.1499,79773.9,1,-0.762,-0.762,-0.6912,-0.6912,-0.3571,-0.3571,0.2008,0.2008,-0.2994,-0.2994,0.406,0.406
BTCUSDT,2026-08-24 14:24:00+00:00,2026-08-24 14:24:00+00:00,LONG_CASCADE,127925.9022,78616.1,1,0.0232,-0.0232,0.4439,-0.4439,0.5347,-0.5347,0.94,-0.94,0.5878,-0.5878,1.1055,-1.1055
BTCUSDT,2026-08-24 14:26:00+00:00,2026-08-24 14:27:00+00:00,SHORT_CASCADE,85431.4407,79542.15,2,0.3723,0.3723,0.463,0.463,0.5567,0.5567,0.9241,0.9241,0.4253,0.4253,0.9289,0.9289
BTCUSDT,2026-08-24 14:33:00+00:00,2026-08-24 14:33:00+00:00,SHORT_CASCADE,850613.2386,79928.95,1,0.1334,0.1334,0.1453,0.1453,0.1638,0.1638,-0.0375,-0.0375,-0.0348,-0.0348,0.4236,0.4236
BTCUSDT,2026-08-24 14:36:00+00:00,2026-08-24 14:36:00+00:00,SHORT_CASCADE,350195.5198,80010.5,1,-0.0415,-0.0415,-0.0115,-0.0115,0.0441,0.0441,-0.3988,-0.3988,-0.2146,-0.2146,0.1804,0.1804
BTCUSDT,2026-08-24 14:41:00+00:00,2026-08-24 14:42:00+00:00,SHORT_CASCADE,213962.9144,80047.9,2,0.0193,0.0193,-0.2436,-0.2436,-0.0989,-0.0989,-0.4942,-0.4942,-0.2273,-0.2273,-0.1616,-0.1616
BTCUSDT,2026-08-24 15:22:00+00:00,2026-08-24 15:23:00+00:00,SHORT_CASCADE,1048961.1977,80127.4,2,0.1477,0.1477,0.2049,0.2049,0.2103,0.2103,0.0475,0.0475,-0.7746,-0.7746,0.0386,0.0386
BTCUSDT,2026-08-24 15:27:00+00:00,2026-08-24 15:27:00+00:00,SHORT_CASCADE,866286.9914,80191.6,1,-0.0945,-0.0945,-0.1135,-0.1135,-0.0576,-0.0576,-0.4174,-0.4174,-1.1373,-1.1373,-0.3297,-0.3297
BTCUSDT,2026-08-24 15:31:00+00:00,2026-08-24 15:31:00+00:00,SHORT_CASCADE,312747.84359999996,80212.3,1,-0.0275,-0.0275,0.0154,0.0154,-0.0752,-0.0752,-0.5983,-0.5983,-0.9279,-0.9279,-0.2302,-0.2302
BTCUSDT,2026-08-24 15:38:00+00:00,2026-08-24 15:38:00+00:00,LONG_CASCADE,221293.4984,79294.3,1,-0.1837,0.1837,-0.0736,0.0736,-0.0978,0.0978,-0.6248,0.6248,-0.3142,0.3142,0.0137,-0.0137
BTCUSDT,2026-08-24 15:43:00+00:00,2026-08-24 15:43:00+00:00,LONG_CASCADE,488659.6336,78911.75,1,-0.593,0.593,-0.2025,0.2025,-0.2808,0.2808,-0.8497,0.8497,-0.2012,0.2012,-0.2086,0.2086
BTCUSDT,2026-08-24 15:57:00+00:00,2026-08-24 15:57:00+00:00,LONG_CASCADE,422560.93429999996,78610.0,1,-0.1369,0.1369,0.0937,-0.0937,0.2448,-0.2448,0.4695,-0.4695,0.8169,-0.8169,0.08,-0.08
BTCUSDT,2026-08-24 17:02:00+00:00,2026-08-24 17:02:00+00:00,LONG_CASCADE,583041.7742999999,78397.9,1,0.2049,-0.2049,0.2923,-0.2923,0.4353,-0.4353,0.5102,-0.5102,0.0597,-0.0597,0.3523,-0.3523
BTCUSDT,2026-08-24 17:22:00+00:00,2026-08-24 17:22:00+00:00,LONG_CASCADE,392962.2699,78272.6,1,-0.1813,0.1813,-0.1105,0.1105,0.0521,-0.0521,0.0257,-0.0257,0.0173,-0.0173,,
BTCUSDT,2026-08-24 17:30:00+00:00,2026-08-24 17:30:00+00:00,LONG_CASCADE,21831.8953,78249.6,1,0.0643,-0.0643,-0.0393,0.0393,-0.0164,0.0164,0.0629,-0.0629,0.3351,-0.3351,,
DOGEUSDT,2026-08-24 15:43:00+00:00,2026-08-24 15:43:00+00:00,LONG_CASCADE,4864.91432,0.09086,1,-0.946,0.946,-0.4458,0.4458,-0.4349,0.4349,-1.0982,1.0982,-0.3045,0.3045,-0.261,0.261
DOGEUSDT,2026-08-24 17:02:00+00:00,2026-08-24 17:02:00+00:00,LONG_CASCADE,3818.4759999999997,0.08940999999999999,1,0.344,-0.344,0.4217,-0.4217,0.6214,-0.6214,0.5327,-0.5327,-1.6423,1.6423,-0.9432,0.9432
DOGEUSDT,2026-08-24 17:21:00+00:00,2026-08-24 17:22:00+00:00,LONG_CASCADE,164923.15266,0.088325,2,-0.4924,0.4924,-0.2238,0.2238,-0.3357,0.3357,-1.1861,1.1861,-0.6043,0.6043,,
DOGEUSDT,2026-08-24 17:28:00+00:00,2026-08-24 17:29:00+00:00,LONG_CASCADE,83509.3216,0.08763499999999999,2,-0.3144,0.3144,-0.5052,0.5052,-0.7859,0.7859,-0.4828,0.4828,-0.3031,0.3031,,
ETHUSDT,2026-08-24 14:11:00+00:00,2026-08-24 14:11:00+00:00,SHORT_CASCADE,37549.1979,2517.02,1,-0.0558,-0.0558,0.055,0.055,0.2166,0.2166,-0.067,-0.067,0.8205,0.8205,0.2904,0.2904
ETHUSDT,2026-08-24 14:23:00+00:00,2026-08-24 14:23:00+00:00,SHORT_CASCADE,198119.1899,2530.415,1,-0.6762,-0.6762,-0.6968,-0.6968,-0.4444,-0.4444,0.2442,0.2442,-0.5339,-0.5339,0.0991,0.0991
ETHUSDT,2026-08-24 14:33:00+00:00,2026-08-24 14:33:00+00:00,SHORT_CASCADE,39031.1895,2535.91,1,-0.0404,-0.0404,0.1141,0.1141,0.1961,0.1961,-0.2726,-0.2726,-0.3265,-0.3265,-0.0479,-0.0479
ETHUSDT,2026-08-24 14:36:00+00:00,2026-08-24 14:36:00+00:00,SHORT_CASCADE,130368.2689,2537.27,1,-0.0214,-0.0214,0.0511,0.0511,0.023,0.023,-0.6854,-0.6854,-0.535,-0.535,-0.4329,-0.4329
ETHUSDT,2026-08-24 15:23:00+00:00,2026-08-24 15:24:00+00:00,SHORT_CASCADE,238252.08800000002,2539.895,2,0.04,0.04,-0.1814,-0.1814,-0.0709,-0.0709,-0.5374,-0.5374,-1.5563,-1.5563,-1.0549,-1.0549
ETHUSDT,2026-08-24 15:43:00+00:00,2026-08-24 15:43:00+00:00,LONG_CASCADE,215082.0996,2488.56,1,-0.5143,0.5143,-0.2633,0.2633,-0.3687,0.3687,-1.0314,1.0314,-0.3727,0.3727,-0.6352,0.6352
ETHUSDT,2026-08-24 15:52:00+00:00,2026-08-24 15:55:00+00:00,LONG_CASCADE,680599.3502,2474.13,3,-0.0836,0.0836,-0.2576,0.2576,-0.2006,0.2006,0.4047,-0.4047,0.5559,-0.5559,-0.248,0.248
ETHUSDT,2026-08-24 16:54:00+00:00,2026-08-24 16:55:00+00:00,LONG_CASCADE,769115.1232,2462.39,2,-0.3715,0.3715,-0.164,0.164,-0.2301,0.2301,0.0101,-0.0101,-0.9545,0.9545,-0.6503,0.6503
ETHUSDT,2026-08-24 17:02:00+00:00,2026-08-24 17:02:00+00:00,LONG_CASCADE,183208.24300000002,2457.5,1,0.1932,-0.1932,0.2387,-0.2387,0.5204,-0.5204,0.4002,-0.4002,-0.1283,0.1283,0.3746,-0.3746
ETHUSDT,2026-08-24 17:21:00+00:00,2026-08-24 17:23:00+00:00,LONG_CASCADE,740734.1112,2448.62,3,-0.2328,0.2328,-0.2872,0.2872,-0.273,0.273,-0.1748,0.1748,-0.0041,0.0041,,
SOLUSDT,2026-08-24 14:50:00+00:00,2026-08-24 14:50:00+00:00,LONG_CASCADE,16672.803,95.505,1,-0.156,0.156,-0.3121,0.3121,-0.2601,0.2601,0.0416,-0.0416,0.6137,-0.6137,0.3849,-0.3849
SOLUSDT,2026-08-24 15:23:00+00:00,2026-08-24 15:24:00+00:00,SHORT_CASCADE,92009.59,97.85,2,0.4227,0.4227,0.1237,0.1237,0.3815,0.3815,-0.1031,-0.1031,-0.5464,-0.5464,0.2784,0.2784
SOLUSDT,2026-08-24 16:54:00+00:00,2026-08-24 16:54:00+00:00,LONG_CASCADE,40406.972,95.48,1,-0.3947,0.3947,-0.0727,0.0727,-0.2181,0.2181,-0.1766,0.1766,-1.4335,1.4335,-1.018,1.018
SOLUSDT,2026-08-24 17:00:00+00:00,2026-08-24 17:02:00+00:00,LONG_CASCADE,59609.058000000005,94.875,2,-0.3648,0.3648,-0.3753,0.3753,-0.271,0.271,-0.1772,0.1772,-1.0736,1.0736,-0.4378,0.4378
